노드ID,노드명,노드유형코드,노드유형명,회전제한유무,회전제한유무명,X좌표,Y좌표,TM_X좌표,TM_Y좌표
1020013800,차병원공업사_보광동길_진입,101,도로교차점,0,무,127.0019398,37.5252165,200171.4698,447302.839
1020013900,보광동사거리,101,도로교차점,0,무,127.0024711,37.5252757,200218.4375,447309.4024
1020014200,이촌고가차도(북측),104,도로시설물,0,무,126.9567814,37.5256373,196179.6791,447350.4179
1020014300,이촌대림아파트(강변북로),108,IC 및 JC,0,무,126.9536309,37.5252935,195901.1713,447312.3871
1020014400,한강중교앞,101,도로교차점,1,유,126.9918489,37.5258413,199279.4878,447372.211
1020014500,노정치과의원,101,도로교차점,0,무,126.9963561,37.5259571,199677.9012,447385.0375
1020014600,정상학원,101,도로교차점,0,무,126.9971823,37.526022,199750.9264,447392.2342
1020014700,이촌대림아파트(강변북로),108,IC 및 JC,0,무,126.9534103,37.5269616,195881.7704,447497.5403
1020014800,용산역앞,101,도로교차점,1,유,126.965179,37.5263244,196922.0178,447426.3625
1020014900,보광고가차도(동측),104,도로시설물,0,무,127.0043215,37.5268831,200381.9973,447487.8127
1020015000,한강중교앞,103,속성변화점,1,유,126.9916198,37.5274075,199259.2471,447546.0426
1020015100,이촌대림아파트(강변북로),108,IC 및 JC,0,무,126.9530055,37.5274066,195846.0055,447546.9407
1020015200,국제빌딩앞삼거리,101,도로교차점,1,유,126.9667307,37.5279703,197059.244,447608.9953
1020015300,현대하이페리온아파트,101,도로교차점,1,유,127.0058802,37.5279708,200519.7674,447608.5448
1020015400,우루과이대사관저,101,도로교차점,0,무,126.9927174,37.5283823,199356.2731,447654.2252
1020015500,강변북로-한남로램프(3),108,IC 및 JC,0,무,127.0066657,37.5276052,200589.2043,447567.9717
1020015600,반포로-장문고개서길진출로,101,도로교차점,0,무,126.9915275,37.5289206,199251.1083,447713.9753
1020015700,한남역,101,도로교차점,1,유,127.0067379,37.5285375,200595.5707,447671.4496
1020015800,용산역광장앞삼거리,101,도로교차점,1,유,126.9655738,37.5286523,196957.0088,447684.7192
1020015900,강변북로-한남로램프(4),108,IC 및 JC,0,무,127.0113874,37.5286867,201006.5546,447688.0467
1020016000,강변북로-한남로램프(1),108,IC 및 JC,0,무,127.0115363,37.5286875,201019.7163,447688.1296
1020016100,한남역_두무개길_진출,101,도로교차점,0,무,127.0074983,37.5289926,200662.7855,447721.9654
1020016200,한남역_남계천길_진입,101,도로교차점,0,무,127.0069625,37.5292409,200615.425,447749.5173
1020016400,반포로-장문고개서길진입로,101,도로교차점,0,무,126.9918491,37.5291271,199279.5351,447736.8897
1020016500,철도건설본부,101,도로교차점,1,유,126.9666249,37.5294416,197049.9549,447772.2876
1020016600,용산구청,101,도로교차점,1,유,126.9913819,37.5294452,199238.2436,447772.2067
1020016800,전자상가입구,101,도로교차점,0,무,126.9682471,37.5295711,197193.3475,447786.6175
1020016900,강변북로-이촌동길램프(13),108,IC 및 JC,0,무,126.9527707,37.5296033,195825.3778,447790.7571
1020017000,용산구청,101,도로교차점,0,무,126.9913886,37.5298137,199238.8355,447813.0981
1020017100,한남주차장,101,도로교차점,0,무,127.0069513,37.5296875,200614.4252,447799.0875
1020017300,강변북로-용호로램프(1),108,IC 및 JC,0,무,126.9512077,37.5298632,195687.2393,447819.6732
1020017400,강변북로-용호로램프(6),108,IC 및 JC,0,무,126.9511342,37.5299541,195680.7506,447829.7676
1020017500,원효대교북단,108,IC 및 JC,0,무,126.9523654,37.5299851,195789.5777,447833.1561
1020017700,한남주차장_남계천길_진입_1,101,도로교차점,1,유,127.0068684,37.530116,200607.0949,447846.6398
